File Date,State,State Abbreviation,State Population,Positive,Negative,Total_Test_Results,Hospitalized,Recovered,Death,Date_Checked,State ID
20200306,Florida,FL,20598139.0,395,1588.0,1983,0.0,0.0,26.0,2020-03-06T21:00:00Z,37
20200305,Washington,WA,7294336.0,277,970.0,1247,0.0,0.0,20.0,2020-03-05T21:00:00Z,25
20200304,Rhode Island,RI,1056611.0,209,759.0,968,0.0,0.0,16.0,2020-03-04T21:00:00Z,16
20200303,Montana,MT,1041732.0,94,6.0,100,0.0,0.0,14.0,2020-03-03T21:00:00Z,3
20200302,Montana,MT,1041732.0,53,0.0,53,0.0,0.0,11.0,2020-03-02T21:00:00Z,3
20200301,Montana,MT,1041732.0,40,0.0,40,0.0,0.0,8.0,2020-03-01T21:00:00Z,3
20200229,Mississippi,MS,2988762.0,18,0.0,18,0.0,0.0,5.0,2020-02-29T21:00:00Z,1
20200228,Mississippi,MS,2988762.0,9,0.0,9,0.0,0.0,4.0,2020-02-28T21:00:00Z,1
20200227,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-27T21:00:00Z,1
20200226,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-26T21:00:00Z,1
20200225,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-25T21:00:00Z,1
20200224,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-24T21:00:00Z,1
20200223,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-23T21:00:00Z,1
20200222,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-22T21:00:00Z,1
20200221,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-21T21:00:00Z,1
20200220,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-20T21:00:00Z,1
20200219,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-19T21:00:00Z,1
20200218,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-18T21:00:00Z,1
20200217,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-17T21:00:00Z,1
20200216,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-16T21:00:00Z,1
20200215,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-15T21:00:00Z,1
20200214,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-14T21:00:00Z,1
20200213,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-13T21:00:00Z,1
20200212,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-12T21:00:00Z,1
20200211,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-11T21:00:00Z,1
20200210,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-10T21:00:00Z,1
20200209,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-09T21:00:00Z,1
20200208,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-08T21:00:00Z,1
20200207,Mississippi,MS,2988762.0,2,0.0,2,0.0,0.0,0.0,2020-02-07T21:00:00Z,1
20200206,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-02-06T21:00:00Z,1
20200205,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-02-05T21:00:00Z,1
20200204,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-02-04T21:00:00Z,1
20200203,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-02-03T21:00:00Z,1
20200202,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-02-02T21:00:00Z,1
20200201,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-02-01T21:00:00Z,1
20200131,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-01-31T21:00:00Z,1
20200130,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-01-30T21:00:00Z,1
20200129,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-01-29T21:00:00Z,1
20200128,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-01-28T21:00:00Z,1
20200127,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-01-27T21:00:00Z,1
20200126,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-01-26T21:00:00Z,1
20200125,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-01-25T21:00:00Z,1
20200124,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-01-24T21:00:00Z,1
20200123,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-01-23T21:00:00Z,1
20200122,Mississippi,MS,2988762.0,1,0.0,1,0.0,0.0,0.0,2020-01-22T21:00:00Z,1
