State,State Abbreviation,State Population,Positive,Negative,Total_Test_Results,Hospitalized,Recovered,Death,Date_Checked
Alaska,AK,738516.0,329,10790,11119,36.0,168.0,9.0,2020-04-21T19:32:00Z
Alabama,AL,4864680.0,5342,43295,48637,730.0,,191.0,2020-04-22T13:35:00Z
Arkansas,AR,2990671.0,2262,26795,29057,291.0,849.0,43.0,2020-04-22T13:09:00Z
Arizona,AZ,6946685.0,5251,49901,55152,,1215.0,208.0,2020-04-22T03:46:00Z
California,CA,39148760.0,33261,259645,292906,,,1268.0,2020-04-22T03:28:00Z
Colorado,CO,5531141.0,10106,37360,47466,1880.0,,449.0,2020-04-21T18:15:00Z
Connecticut,CT,3581504.0,20360,43832,64192,,,1423.0,2020-04-21T20:32:00Z
District of Columbia,DC,684498.0,3206,12296,15502,,645.0,127.0,2020-04-22T14:07:00Z
Delaware,DE,949495.0,2931,13725,16656,,565.0,82.0,2020-04-21T18:27:00Z
Florida,FL,20598139.0,27869,254471,282340,4401.0,,884.0,2020-04-22T12:21:00Z
Georgia,GA,10297484.0,20166,68259,88425,3885.0,,818.0,2020-04-22T03:11:00Z
Hawaii,HI,1422029.0,582,24760,25342,56.0,437.0,12.0,2020-04-22T03:19:00Z
Iowa,IA,3132499.0,3641,23974,27615,,1293.0,83.0,2020-04-21T18:17:00Z
Idaho,ID,1687809.0,1766,15964,17730,158.0,710.0,51.0,2020-04-22T12:59:00Z
Illinois,IL,12821497.0,33059,121938,154997,,,1468.0,2020-04-21T20:10:00Z
Indiana,IN,6637426.0,12097,55167,67264,,,630.0,2020-04-21T18:23:00Z
Kansas,KS,2908776.0,2025,17076,19101,419.0,,107.0,2020-04-21T18:34:00Z
Kentucky,KY,4440204.0,3192,30136,33328,1076.0,1266.0,171.0,2020-04-22T03:19:00Z
Louisiana,LA,4663616.0,24854,117576,142430,,,1405.0,2020-04-21T18:44:00Z
Massachusetts,MA,6830193.0,41199,134173,175372,,,1961.0,2020-04-21T20:31:00Z
Maryland,MD,6003435.0,14775,59442,74217,3325.0,981.0,584.0,2020-04-22T14:11:00Z
Maine,ME,1332813.0,888,14076,14964,139.0,443.0,36.0,2020-04-21T20:28:00Z
Michigan,MI,9957488.0,32967,84259,117226,,3237.0,2700.0,2020-04-21T20:05:00Z
Minnesota,MN,5527358.0,2567,45130,47697,629.0,1254.0,160.0,2020-04-21T19:06:00Z
Missouri,MO,6090062.0,5941,52019,57960,,,189.0,2020-04-22T13:08:00Z
Mississippi,MS,2988762.0,4716,47648,52364,858.0,,183.0,2020-04-21T20:10:00Z
Montana,MT,1041732.0,437,10804,11241,59.0,273.0,12.0,2020-04-22T12:33:00Z
North Carolina,NC,10155624.0,6951,76380,83331,,,213.0,2020-04-21T19:50:00Z
North Dakota,ND,752201.0,644,14343,14987,54.0,214.0,13.0,2020-04-21T19:48:00Z
Nebraska,NE,1904760.0,1722,14957,16679,,,38.0,2020-04-22T13:10:00Z
New Hampshire,NH,1343622.0,1491,13550,15041,206.0,546.0,42.0,2020-04-22T13:10:00Z
New Jersey,NJ,8881845.0,92387,92439,184826,,,4753.0,2020-04-21T20:33:00Z
New Mexico,NM,2092434.0,2072,38805,40877,306.0,529.0,65.0,2020-04-22T03:10:00Z
Nevada,NV,2922849.0,3937,29118,33055,,,163.0,2020-04-22T12:27:00Z
New York,NY,19618453.0,251690,397635,649325,57103.0,23887.0,14828.0,2020-04-22T12:15:00Z
Ohio,OH,11641879.0,13725,80989,94714,2779.0,,557.0,2020-04-22T14:34:00Z
Oklahoma,OK,3918137.0,2807,43019,45826,588.0,1702.0,164.0,2020-04-22T14:01:00Z
Oregon,OR,4081943.0,2002,39126,41128,471.0,,78.0,2020-04-21T19:37:00Z
Pennsylvania,PA,12791181.0,34528,132323,166851,,,1564.0,2020-04-21T18:21:00Z
Rhode Island,RI,1056611.0,5500,33833,39333,576.0,315.0,171.0,2020-04-21T19:59:00Z
South Carolina,SC,4955925.0,4608,37833,42441,837.0,3317.0,135.0,2020-04-22T02:54:00Z
South Dakota,SD,864289.0,1755,11060,12815,100.0,824.0,8.0,2020-04-22T12:18:00Z
Tennessee,TN,6651089.0,7394,100788,108182,760.0,3828.0,157.0,2020-04-21T19:53:00Z
Texas,TX,27885195.0,20196,185203,205399,,6486.0,517.0,2020-04-21T18:19:00Z
Utah,UT,3045350.0,3296,69062,72358,277.0,888.0,32.0,2020-04-21T18:31:00Z
Virginia,VA,8413774.0,9451,48903,58354,1581.0,1418.0,324.0,2020-04-21T19:26:00Z
Vermont,VT,624977.0,818,12293,13111,,1710.0,40.0,2020-04-21T18:54:00Z
Washington,WA,7294336.0,12282,132749,145031,,,682.0,2020-04-22T14:32:00Z
Wisconsin,WI,5778394.0,4620,47841,52461,1252.0,,242.0,2020-04-21T19:12:00Z
West Virginia,WV,1829054.0,939,24897,25836,,330.0,27.0,2020-04-22T14:38:00Z
Wyoming,WY,581836.0,322,7301,7623,52.0,254.0,6.0,2020-04-22T02:15:00Z
,PR,,1298,8789,10087,,,64.0,2020-04-22T02:49:00Z
,AS,,0,3,3,,,,2020-04-21T19:21:00Z
,GU,,134,1086,1220,,119.0,5.0,2020-04-22T12:52:00Z
,MP,,14,51,65,,11.0,2.0,2020-04-22T03:25:00Z
,VI,,54,583,637,,48.0,3.0,2020-04-22T13:01:00Z
