State,State Abbreviation,County,County Population
Mississippi,MS,Washington,47086.0
Mississippi,MS,Perry,12028.0
Mississippi,MS,Choctaw,8321.0
Mississippi,MS,Itawamba,23480.0
Mississippi,MS,Carroll,10129.0
Mississippi,MS,Grenada,21278.0
Mississippi,MS,Jefferson,7346.0
Mississippi,MS,Greene,13714.0
Mississippi,MS,Marshall,35787.0
Mississippi,MS,Quitman,7372.0
Mississippi,MS,Bolivar,32592.0
Mississippi,MS,Lamar,61223.0
Mississippi,MS,Lee,84915.0
Mississippi,MS,Pike,39737.0
Mississippi,MS,Tallahatchie,14361.0
Mississippi,MS,Smith,16063.0
Mississippi,MS,Stone,18375.0
Mississippi,MS,Warren,47075.0
Mississippi,MS,Clarke,15928.0
Mississippi,MS,Kemper,10107.0
Mississippi,MS,Montgomery,10198.0
Mississippi,MS,Oktibbeha,49481.0
Mississippi,MS,Pearl River,55149.0
Mississippi,MS,Leake,22870.0
Mississippi,MS,Noxubee,10828.0
Mississippi,MS,Neshoba,29376.0
Mississippi,MS,Rankin,151240.0
Mississippi,MS,Tate,28493.0
Mississippi,MS,Lawrence,12630.0
Mississippi,MS,Panola,34243.0
Mississippi,MS,Yalobusha,12421.0
Mississippi,MS,Chickasaw,17279.0
Mississippi,MS,Copiah,28721.0
Mississippi,MS,George,23710.0
Mississippi,MS,Hinds,241774.0
Mississippi,MS,Newton,21524.0
Mississippi,MS,Union,28356.0
Mississippi,MS,Sharkey,4511.0
Mississippi,MS,Tippah,21990.0
Mississippi,MS,Forrest,75517.0
Mississippi,MS,Hancock,46653.0
Mississippi,MS,Lafayette,53459.0
Mississippi,MS,Issaquena,1328.0
Mississippi,MS,Lowndes,59437.0
Mississippi,MS,Leflore,29804.0
Mississippi,MS,Wilkinson,8990.0
Mississippi,MS,Harrison,202626.0
Mississippi,MS,Jefferson Davis,11495.0
Mississippi,MS,Lincoln,34432.0
Mississippi,MS,Scott,28415.0
Mississippi,MS,Winston,18358.0
Mississippi,MS,Yazoo,27974.0
Mississippi,MS,Benton,8253.0
Mississippi,MS,Franklin,7757.0
Mississippi,MS,Jasper,16529.0
Mississippi,MS,Jones,68454.0
Mississippi,MS,Monroe,35840.0
Mississippi,MS,Sunflower,26532.0
Mississippi,MS,Webster,9828.0
Mississippi,MS,Adams,31547.0
Mississippi,MS,Clay,19808.0
Mississippi,MS,Covington,19091.0
Mississippi,MS,Humphreys,8539.0
Mississippi,MS,Holmes,18075.0
Mississippi,MS,Amite,12468.0
Mississippi,MS,Calhoun,14571.0
Mississippi,MS,Tishomingo,19478.0
Mississippi,MS,Wayne,20422.0
Mississippi,MS,Madison,103498.0
Mississippi,MS,Marion,25202.0
Mississippi,MS,Prentiss,25360.0
Mississippi,MS,Jackson,142014.0
Mississippi,MS,Tunica,10170.0
Mississippi,MS,Claiborne,9120.0
Mississippi,MS,Lauderdale,77323.0
Mississippi,MS,Simpson,27073.0
Mississippi,MS,Attala,18581.0
Mississippi,MS,Coahoma,23802.0
Mississippi,MS,Walthall,14601.0
Mississippi,MS,Pontotoc,31315.0
Mississippi,MS,Alcorn,37180.0
Mississippi,MS,DeSoto,176132.0
Missouri,MO,Saline,23102.0
Missouri,MO,Madison,12205.0
Missouri,MO,Wright,18293.0
Missouri,MO,Vernon,20691.0
Missouri,MO,Nodaway,22547.0
Missouri,MO,Chariton,7546.0
Missouri,MO,Grundy,10039.0
Missouri,MO,Morgan,20137.0
Missouri,MO,Wayne,13308.0
Missouri,MO,Bollinger,12281.0
Missouri,MO,Cape Girardeau,78324.0
Missouri,MO,Shelby,6061.0
Missouri,MO,Webster,38082.0
Missouri,MO,Atchison,5270.0
Missouri,MO,Bates,16374.0
Missouri,MO,Benton,18989.0
Missouri,MO,Carter,6197.0
Missouri,MO,Dade,7590.0
Missouri,MO,Linn,12186.0
Missouri,MO,Howell,40102.0
Missouri,MO,Johnson,53689.0
Missouri,MO,Laclede,35507.0
Missouri,MO,Maries,8884.0
Missouri,MO,Phelps,44789.0
Missouri,MO,Platte,98824.0
Missouri,MO,St. Francois,66342.0
Missouri,MO,Andrew,17403.0
Missouri,MO,Carroll,8843.0
Missouri,MO,Daviess,8302.0
Missouri,MO,Knox,3951.0
Missouri,MO,Marion,28672.0
Missouri,MO,Osage,13619.0
Missouri,MO,Ripley,13693.0
Missouri,MO,Warren,33908.0
Missouri,MO,Audrain,25735.0
Missouri,MO,Christian,84275.0
Missouri,MO,Greene,288429.0
Missouri,MO,Harrison,8554.0
Missouri,MO,St. Clair,9383.0
Missouri,MO,Adair,25325.0
Missouri,MO,Scotland,4898.0
