State,State Abbreviation,County,Confirmed,Recovered,Active,Deaths,Last_Update,FIPS,Lat,Long_,CityStateRegion,Country_Region
South Carolina,SC,Abbeville,23,0,23,0,4/24/2020 3:30,45001.0,34.22333378,-82.46170658,"Abbeville, South Carolina, US",US
Virginia,VA,Accomack,76,0,74,2,4/24/2020 3:30,51001.0,37.76707161,-75.63234615,"Accomack, Virginia, US",US
Idaho,ID,Ada,635,0,621,14,4/24/2020 3:30,16001.0,43.4526575,-116.24155159999998,"Ada, Idaho, US",US
Iowa,IA,Adair,1,0,1,0,4/24/2020 3:30,19001.0,41.33075609,-94.47105874,"Adair, Iowa, US",US
Kentucky,KY,Adair,63,0,58,5,4/24/2020 3:30,21001.0,37.10459774,-85.28129668,"Adair, Kentucky, US",US
Missouri,MO,Adair,12,0,12,0,4/24/2020 3:30,29001.0,40.19058551,-92.60078167,"Adair, Missouri, US",US
Oklahoma,OK,Adair,50,0,47,3,4/24/2020 3:30,40001.0,35.88494195,-94.65859267,"Adair, Oklahoma, US",US
Colorado,CO,Adams,1082,0,1032,50,4/24/2020 3:30,8001.0,39.87432092,-104.3362578,"Adams, Colorado, US",US
Idaho,ID,Adams,3,0,3,0,4/24/2020 3:30,16003.0,44.89333571,-116.4545247,"Adams, Idaho, US",US
Illinois,IL,Adams,29,0,29,0,4/24/2020 3:30,17001.0,39.98815591,-91.18786813,"Adams, Illinois, US",US
Indiana,IN,Adams,7,0,6,1,4/24/2020 3:30,18001.0,40.7457653,-84.93671406,"Adams, Indiana, US",US
Mississippi,MS,Adams,101,0,94,7,4/24/2020 3:30,28001.0,31.47669768,-91.35326037,"Adams, Mississippi, US",US
Nebraska,NE,Adams,111,0,109,2,4/24/2020 3:30,31001.0,40.52449420000001,-98.50117804,"Adams, Nebraska, US",US
Ohio,OH,Adams,4,0,4,0,4/24/2020 3:30,39001.0,38.84541072,-83.4718964,"Adams, Ohio, US",US
Pennsylvania,PA,Adams,95,0,93,2,4/24/2020 3:30,42001.0,39.87140411,-77.21610347,"Adams, Pennsylvania, US",US
Washington,WA,Adams,45,0,45,0,4/23/2020 0:00,53001.0,46.98299757,-118.5601734,"Adams, Washington, US",US
