Date,State,Positive,Negative,Recovered,Date_Checked,Death,Hospitalized,Total_Test_Results,Death_Increase,Hospitalized_Increase,Negative_Increase,Positive_Increase,Total_Test_Results_Increase
20200424,CO,11262,41062,,2020-04-24T20:00:00Z,552.0,2237.0,52324,44.0,114.0,1295.0,384.0,1679.0
20200423,CO,10878,39767,,2020-04-23T20:00:00Z,508.0,2123.0,50645,22.0,120.0,1510.0,431.0,1941.0
20200422,CO,10447,38257,,2020-04-22T20:00:00Z,486.0,2003.0,48704,37.0,123.0,897.0,341.0,1238.0
20200421,CO,10106,37360,,2020-04-21T20:00:00Z,449.0,1880.0,47466,27.0,67.0,895.0,376.0,1271.0
20200420,CO,9730,36465,,2020-04-20T20:00:00Z,422.0,1813.0,46195,11.0,16.0,1292.0,297.0,1589.0
20200419,CO,9433,35173,,2020-04-19T20:00:00Z,411.0,1797.0,44606,20.0,42.0,913.0,386.0,1299.0
20200418,CO,9047,34260,,2020-04-18T20:00:00Z,391.0,1755.0,43307,17.0,62.0,1105.0,372.0,1477.0
20200417,CO,8675,33155,,2020-04-17T20:00:00Z,374.0,1693.0,41830,17.0,57.0,902.0,395.0,1297.0
20200416,CO,8280,32253,,2020-04-16T20:00:00Z,357.0,1636.0,40533,28.0,80.0,614.0,339.0,953.0
20200415,CO,7941,31639,,2020-04-15T20:00:00Z,329.0,1556.0,39580,21.0,63.0,588.0,250.0,838.0
20200414,CO,7691,31051,,2020-04-14T20:00:00Z,308.0,1493.0,38742,4.0,21.0,1201.0,7.0,1208.0
20200413,CO,7684,29850,,2020-04-13T20:00:00Z,304.0,1472.0,37534,30.0,96.0,1870.0,791.0,2661.0
20200412,CO,6893,27980,,2020-04-12T20:00:00Z,274.0,1376.0,34873,24.0,64.0,1837.0,383.0,2220.0
20200411,CO,6510,26143,,2020-04-11T20:00:00Z,250.0,1312.0,32653,0.0,0.0,0.0,0.0,0.0
20200410,CO,6510,26143,,2020-04-10T20:00:00Z,250.0,1312.0,32653,57.0,150.0,2599.0,855.0,3454.0
20200409,CO,5655,23544,,2020-04-09T20:00:00Z,193.0,1162.0,29199,14.0,83.0,879.0,226.0,1105.0
20200408,CO,5429,22665,,2020-04-08T20:00:00Z,179.0,1079.0,28094,29.0,85.0,962.0,257.0,1219.0
20200407,CO,5172,21703,,2020-04-07T20:00:00Z,150.0,994.0,26875,10.0,70.0,880.0,222.0,1102.0
20200406,CO,4950,20823,,2020-04-06T20:00:00Z,140.0,924.0,25773,14.0,49.0,1488.0,385.0,1873.0
20200405,CO,4565,19335,,2020-04-05T20:00:00Z,126.0,875.0,23900,15.0,52.0,1437.0,392.0,1829.0
20200404,CO,4173,17898,,2020-04-04T20:00:00Z,111.0,823.0,22071,14.0,113.0,1215.0,445.0,1660.0
20200403,CO,3728,16683,,2020-04-03T20:00:00Z,97.0,710.0,20411,17.0,90.0,1380.0,386.0,1766.0
20200402,CO,3342,15303,,2020-04-02T20:00:00Z,80.0,620.0,18645,11.0,111.0,1420.0,376.0,1796.0
20200401,CO,2966,13883,,2020-04-01T20:00:00Z,69.0,509.0,16849,18.0,95.0,1146.0,339.0,1485.0
20200331,CO,2627,12737,,2020-03-31T20:00:00Z,51.0,414.0,15364,0.0,0.0,0.0,0.0,0.0
20200330,CO,2627,12737,,2020-03-30T20:00:00Z,51.0,414.0,15364,7.0,140.0,1522.0,566.0,2088.0
20200329,CO,2061,11215,,2020-03-29T20:00:00Z,44.0,274.0,13276,13.0,35.0,1273.0,327.0,1600.0
20200328,CO,1734,9942,,2020-03-28T20:00:00Z,31.0,239.0,11676,7.0,55.0,1250.0,304.0,1554.0
20200327,CO,1430,8692,,2020-03-27T20:00:00Z,24.0,184.0,10122,5.0,36.0,1714.0,344.0,2058.0
20200326,CO,1086,6978,,2020-03-26T20:00:00Z,19.0,148.0,8064,8.0,64.0,189.0,174.0,363.0
20200325,CO,912,6789,,2020-03-25T20:00:00Z,11.0,84.0,7701,4.0,12.0,1285.0,192.0,1477.0
20200324,CO,720,5504,,2020-03-24T20:00:00Z,7.0,72.0,6224,1.0,14.0,659.0,129.0,788.0
20200323,CO,591,4845,,2020-03-23T20:00:00Z,6.0,58.0,5436,1.0,9.0,770.0,116.0,886.0
20200322,CO,475,4075,,2020-03-22T20:00:00Z,5.0,49.0,4550,1.0,5.0,758.0,112.0,870.0
20200321,CO,363,3317,,2020-03-21T20:00:00Z,4.0,44.0,3680,1.0,44.0,642.0,86.0,728.0
20200320,CO,277,2675,,2020-03-20T20:00:00Z,3.0,,2952,1.0,0.0,563.0,61.0,624.0
20200319,CO,216,2112,,2020-03-19T20:00:00Z,2.0,,2328,0.0,0.0,495.0,33.0,528.0
20200318,CO,183,1617,,2020-03-18T20:00:00Z,2.0,,1800,1.0,0.0,561.0,23.0,584.0
20200317,CO,160,1056,,2020-03-17T20:00:00Z,1.0,,1216,0.0,0.0,429.0,29.0,458.0
20200316,CO,131,627,,2020-03-16T20:00:00Z,1.0,,758,0.0,0.0,0.0,0.0,0.0
20200315,CO,131,627,,2020-03-15T20:00:00Z,1.0,,758,0.0,0.0,17.0,30.0,47.0
20200314,CO,101,610,,2020-03-14T20:00:00Z,1.0,,711,1.0,0.0,86.0,29.0,115.0
20200313,CO,72,524,,2020-03-13T20:00:00Z,,,596,0.0,0.0,226.0,27.0,253.0
20200312,CO,45,298,,2020-03-12T20:00:00Z,,,343,0.0,0.0,47.0,17.0,64.0
20200311,CO,28,251,,2020-03-11T20:00:00Z,,,279,0.0,0.0,109.0,16.0,125.0
20200310,CO,12,142,,2020-03-10T20:00:00Z,,,154,0.0,0.0,9.0,3.0,12.0
20200309,CO,9,133,,2020-03-09T20:00:00Z,,,142,0.0,0.0,29.0,1.0,30.0
20200308,CO,8,104,,2020-03-08T20:00:00Z,,,112,0.0,0.0,49.0,0.0,49.0
20200307,CO,8,55,,2020-03-07T21:00:00Z,,,63,0.0,0.0,9.0,6.0,15.0
20200306,CO,2,46,,2020-03-06T21:00:00Z,,,48,0.0,0.0,27.0,2.0,29.0
20200305,CO,0,19,,2020-03-05T21:00:00Z,,,19,,,,,
