Date,State,Positive,Negative,Recovered,Date_Checked,Death,Hospitalized,Total_Test_Results,Death_Increase,Hospitalized_Increase,Negative_Increase,Positive_Increase,Total_Test_Results_Increase
20200424,MI,36641,108.0,3237.0,2020-04-24T20:00:00Z,3085.0,,136296,108.0,0.0,6625.0,1350.0,7975.0
20200423,MI,35291,164.0,3237.0,2020-04-23T20:00:00Z,2977.0,,128321,164.0,0.0,8771.0,1325.0,10096.0
20200422,MI,33966,113.0,3237.0,2020-04-22T20:00:00Z,2813.0,,118225,113.0,0.0,0.0,999.0,999.0
20200421,MI,32967,232.0,3237.0,2020-04-21T20:00:00Z,2700.0,,117226,232.0,0.0,2461.0,967.0,3428.0
20200420,MI,32000,77.0,3237.0,2020-04-20T20:00:00Z,2468.0,,113798,77.0,0.0,3561.0,576.0,4137.0
20200419,MI,31424,83.0,3237.0,2020-04-19T20:00:00Z,2391.0,,109661,83.0,0.0,9301.0,633.0,9934.0
20200418,MI,30791,81.0,3237.0,2020-04-18T20:00:00Z,2308.0,,99727,81.0,0.0,0.0,768.0,768.0
20200417,MI,30023,134.0,629.0,2020-04-17T20:00:00Z,2227.0,,98959,134.0,0.0,3913.0,760.0,4673.0
20200416,MI,29263,172.0,617.0,2020-04-16T20:00:00Z,2093.0,,94286,172.0,0.0,3385.0,1204.0,4589.0
20200415,MI,28059,153.0,452.0,2020-04-15T20:00:00Z,1921.0,,89697,153.0,0.0,2413.0,1058.0,3471.0
20200414,MI,27001,166.0,452.0,2020-04-14T20:00:00Z,1768.0,,86226,166.0,0.0,2216.0,1366.0,3582.0
20200413,MI,25635,115.0,447.0,2020-04-13T20:00:00Z,1602.0,,82644,115.0,0.0,2210.0,997.0,3207.0
20200412,MI,24638,95.0,433.0,2020-04-12T20:00:00Z,1487.0,,79437,95.0,0.0,2778.0,645.0,3423.0
20200411,MI,23993,111.0,595.0,2020-04-11T20:00:00Z,1392.0,,76014,111.0,0.0,2760.0,1210.0,3970.0
20200410,MI,22783,205.0,56.0,2020-04-10T20:00:00Z,1281.0,,72044,205.0,0.0,3711.0,1279.0,4990.0
20200409,MI,21504,117.0,56.0,2020-04-09T20:00:00Z,1076.0,,67054,117.0,0.0,0.0,915.0,915.0
20200408,MI,20589,114.0,56.0,2020-04-08T20:00:00Z,959.0,,66139,114.0,0.0,0.0,766.0,766.0
20200407,MI,19823,118.0,56.0,2020-04-07T20:00:00Z,845.0,,65373,118.0,0.0,2430.0,973.0,3403.0
20200406,MI,18850,110.0,56.0,2020-04-06T20:00:00Z,727.0,,61970,110.0,0.0,2789.0,1283.0,4072.0
20200405,MI,17567,77.0,56.0,2020-04-05T20:00:00Z,617.0,,57898,77.0,0.0,2926.0,1172.0,4098.0
20200404,MI,16395,61.0,56.0,2020-04-04T20:00:00Z,540.0,,53800,61.0,0.0,3735.0,1143.0,4878.0
20200403,MI,15252,62.0,56.0,2020-04-03T20:00:00Z,479.0,,48922,62.0,0.0,3302.0,1135.0,4437.0
20200402,MI,14117,80.0,,2020-04-02T20:00:00Z,417.0,,44485,80.0,0.0,3131.0,1229.0,4360.0
20200401,MI,12888,78.0,,2020-04-01T20:00:00Z,337.0,,40125,78.0,0.0,3258.0,1013.0,4271.0
20200331,MI,11875,75.0,,2020-03-31T20:00:00Z,259.0,,35854,75.0,0.0,2796.0,974.0,3770.0
20200330,MI,10901,52.0,,2020-03-30T20:00:00Z,184.0,,32084,52.0,0.0,5507.0,891.0,6398.0
20200329,MI,10010,40.0,,2020-03-29T20:00:00Z,132.0,,25686,40.0,0.0,1493.0,723.0,2216.0
20200328,MI,9287,0.0,,2020-03-28T20:00:00Z,92.0,,23470,0.0,0.0,1544.0,628.0,2172.0
20200327,MI,8659,32.0,,2020-03-27T20:00:00Z,92.0,,21298,32.0,0.0,2334.0,892.0,3226.0
20200326,MI,7767,17.0,,2020-03-26T20:00:00Z,60.0,,18072,17.0,0.0,2768.0,707.0,3475.0
20200325,MI,7060,19.0,,2020-03-25T20:00:00Z,43.0,,14597,19.0,0.0,1741.0,619.0,2360.0
20200324,MI,6441,9.0,,2020-03-24T20:00:00Z,24.0,,12237,9.0,0.0,1099.0,652.0,1751.0
20200323,MI,5789,7.0,,2020-03-23T20:00:00Z,15.0,,10486,7.0,0.0,985.0,691.0,1676.0
20200322,MI,5098,3.0,,2020-03-22T20:00:00Z,8.0,,8810,3.0,0.0,16.0,555.0,571.0
20200321,MI,4543,2.0,,2020-03-21T20:00:00Z,5.0,,8239,2.0,0.0,950.0,516.0,1466.0
20200320,MI,4027,0.0,,2020-03-20T20:00:00Z,3.0,,6773,0.0,0.0,961.0,635.0,1596.0
20200319,MI,3392,3.0,,2020-03-19T20:00:00Z,3.0,,5177,3.0,0.0,570.0,479.0,1049.0
20200318,MI,2913,0.0,,2020-03-18T20:00:00Z,,,4128,0.0,0.0,589.0,520.0,1109.0
20200317,MI,2393,0.0,,2020-03-17T20:00:00Z,,,3019,0.0,0.0,354.0,460.0,814.0
20200316,MI,1933,0.0,,2020-03-16T20:00:00Z,,,2205,0.0,0.0,67.0,453.0,520.0
20200315,MI,1480,0.0,,2020-03-15T20:00:00Z,,,1685,0.0,0.0,0.0,284.0,284.0
20200314,MI,1196,0.0,,2020-03-14T20:00:00Z,,,1401,0.0,0.0,72.0,251.0,323.0
20200313,MI,945,0.0,,2020-03-13T20:00:00Z,,,1078,0.0,0.0,42.0,243.0,285.0
20200312,MI,702,0.0,,2020-03-12T20:00:00Z,,,793,0.0,0.0,34.0,205.0,239.0
20200311,MI,497,0.0,,2020-03-11T20:00:00Z,,,554,0.0,0.0,18.0,139.0,157.0
20200310,MI,358,0.0,,2020-03-10T20:00:00Z,,,397,0.0,0.0,3.0,104.0,107.0
20200309,MI,254,0.0,,2020-03-09T20:00:00Z,,,290,0.0,0.0,10.0,86.0,96.0
20200308,MI,168,0.0,,2020-03-08T20:00:00Z,,,194,0.0,0.0,8.0,40.0,48.0
20200307,MI,128,0.0,,2020-03-07T21:00:00Z,,,146,0.0,0.0,10.0,30.0,40.0
20200306,MI,98,0.0,,2020-03-06T21:00:00Z,,,106,0.0,0.0,0.0,26.0,26.0
20200305,MI,72,0.0,,2020-03-05T21:00:00Z,,,80,0.0,0.0,8.0,20.0,28.0
20200304,MI,52,0.0,,2020-03-04T21:00:00Z,,,52,0.0,0.0,0.0,18.0,18.0
20200303,MI,34,0.0,,2020-03-03T21:00:00Z,,,34,0.0,0.0,0.0,16.0,16.0
20200302,MI,18,0.0,,2020-03-02T21:00:00Z,,,18,0.0,0.0,0.0,9.0,9.0
20200301,MI,9,,,2020-03-01T21:00:00Z,,,9,,,,,
