Population,County,State
47086.0,Washington,Mississippi
12028.0,Perry,Mississippi
8321.0,Choctaw,Mississippi
23480.0,Itawamba,Mississippi
10129.0,Carroll,Mississippi
21278.0,Grenada,Mississippi
7346.0,Jefferson,Mississippi
13714.0,Greene,Mississippi
35787.0,Marshall,Mississippi
7372.0,Quitman,Mississippi
32592.0,Bolivar,Mississippi
61223.0,Lamar,Mississippi
84915.0,Lee,Mississippi
39737.0,Pike,Mississippi
14361.0,Tallahatchie,Mississippi
16063.0,Smith,Mississippi
18375.0,Stone,Mississippi
47075.0,Warren,Mississippi
15928.0,Clarke,Mississippi
10107.0,Kemper,Mississippi
10198.0,Montgomery,Mississippi
49481.0,Oktibbeha,Mississippi
55149.0,Pearl River,Mississippi
22870.0,Leake,Mississippi
10828.0,Noxubee,Mississippi
29376.0,Neshoba,Mississippi
151240.0,Rankin,Mississippi
28493.0,Tate,Mississippi
12630.0,Lawrence,Mississippi
34243.0,Panola,Mississippi
12421.0,Yalobusha,Mississippi
17279.0,Chickasaw,Mississippi
28721.0,Copiah,Mississippi
23710.0,George,Mississippi
241774.0,Hinds,Mississippi
21524.0,Newton,Mississippi
28356.0,Union,Mississippi
4511.0,Sharkey,Mississippi
21990.0,Tippah,Mississippi
75517.0,Forrest,Mississippi
46653.0,Hancock,Mississippi
53459.0,Lafayette,Mississippi
1328.0,Issaquena,Mississippi
59437.0,Lowndes,Mississippi
29804.0,Leflore,Mississippi
8990.0,Wilkinson,Mississippi
202626.0,Harrison,Mississippi
11495.0,Jefferson Davis,Mississippi
34432.0,Lincoln,Mississippi
28415.0,Scott,Mississippi
18358.0,Winston,Mississippi
27974.0,Yazoo,Mississippi
8253.0,Benton,Mississippi
7757.0,Franklin,Mississippi
16529.0,Jasper,Mississippi
68454.0,Jones,Mississippi
35840.0,Monroe,Mississippi
26532.0,Sunflower,Mississippi
9828.0,Webster,Mississippi
31547.0,Adams,Mississippi
19808.0,Clay,Mississippi
19091.0,Covington,Mississippi
8539.0,Humphreys,Mississippi
23102.0,Saline,Missouri
12205.0,Madison,Missouri
18293.0,Wright,Missouri
20691.0,Vernon,Missouri
22547.0,Nodaway,Missouri
7546.0,Chariton,Missouri
10039.0,Grundy,Missouri
20137.0,Morgan,Missouri
13308.0,Wayne,Missouri
12281.0,Bollinger,Missouri
78324.0,Cape Girardeau,Missouri
6061.0,Shelby,Missouri
38082.0,Webster,Missouri
5270.0,Atchison,Missouri
16374.0,Bates,Missouri
18989.0,Benton,Missouri
6197.0,Carter,Missouri
