Population,County,State,Abbreviation
47086.0,Washington,Mississippi,MS
12028.0,Perry,Mississippi,MS
8321.0,Choctaw,Mississippi,MS
23480.0,Itawamba,Mississippi,MS
10129.0,Carroll,Mississippi,MS
21278.0,Grenada,Mississippi,MS
7346.0,Jefferson,Mississippi,MS
13714.0,Greene,Mississippi,MS
35787.0,Marshall,Mississippi,MS
7372.0,Quitman,Mississippi,MS
32592.0,Bolivar,Mississippi,MS
61223.0,Lamar,Mississippi,MS
84915.0,Lee,Mississippi,MS
39737.0,Pike,Mississippi,MS
14361.0,Tallahatchie,Mississippi,MS
16063.0,Smith,Mississippi,MS
18375.0,Stone,Mississippi,MS
47075.0,Warren,Mississippi,MS
15928.0,Clarke,Mississippi,MS
10107.0,Kemper,Mississippi,MS
10198.0,Montgomery,Mississippi,MS
49481.0,Oktibbeha,Mississippi,MS
55149.0,Pearl River,Mississippi,MS
22870.0,Leake,Mississippi,MS
10828.0,Noxubee,Mississippi,MS
29376.0,Neshoba,Mississippi,MS
151240.0,Rankin,Mississippi,MS
28493.0,Tate,Mississippi,MS
12630.0,Lawrence,Mississippi,MS
34243.0,Panola,Mississippi,MS
12421.0,Yalobusha,Mississippi,MS
17279.0,Chickasaw,Mississippi,MS
28721.0,Copiah,Mississippi,MS
23710.0,George,Mississippi,MS
241774.0,Hinds,Mississippi,MS
21524.0,Newton,Mississippi,MS
28356.0,Union,Mississippi,MS
4511.0,Sharkey,Mississippi,MS
21990.0,Tippah,Mississippi,MS
75517.0,Forrest,Mississippi,MS
46653.0,Hancock,Mississippi,MS
53459.0,Lafayette,Mississippi,MS
1328.0,Issaquena,Mississippi,MS
59437.0,Lowndes,Mississippi,MS
29804.0,Leflore,Mississippi,MS
8990.0,Wilkinson,Mississippi,MS
202626.0,Harrison,Mississippi,MS
11495.0,Jefferson Davis,Mississippi,MS
34432.0,Lincoln,Mississippi,MS
28415.0,Scott,Mississippi,MS
18358.0,Winston,Mississippi,MS
27974.0,Yazoo,Mississippi,MS
8253.0,Benton,Mississippi,MS
7757.0,Franklin,Mississippi,MS
16529.0,Jasper,Mississippi,MS
68454.0,Jones,Mississippi,MS
35840.0,Monroe,Mississippi,MS
26532.0,Sunflower,Mississippi,MS
9828.0,Webster,Mississippi,MS
31547.0,Adams,Mississippi,MS
19808.0,Clay,Mississippi,MS
19091.0,Covington,Mississippi,MS
8539.0,Humphreys,Mississippi,MS
18075.0,Holmes,Mississippi,MS
12468.0,Amite,Mississippi,MS
14571.0,Calhoun,Mississippi,MS
19478.0,Tishomingo,Mississippi,MS
20422.0,Wayne,Mississippi,MS
103498.0,Madison,Mississippi,MS
25202.0,Marion,Mississippi,MS
25360.0,Prentiss,Mississippi,MS
142014.0,Jackson,Mississippi,MS
10170.0,Tunica,Mississippi,MS
9120.0,Claiborne,Mississippi,MS
77323.0,Lauderdale,Mississippi,MS
27073.0,Simpson,Mississippi,MS
18581.0,Attala,Mississippi,MS
23802.0,Coahoma,Mississippi,MS
14601.0,Walthall,Mississippi,MS
31315.0,Pontotoc,Mississippi,MS
