State,Population,Abbreviation
Minnesota,5527358.0,MN
Mississippi,2988762.0,MS
Missouri,6090062.0,MO
Montana,1041732.0,MT
Nebraska,1904760.0,NE
Nevada,2922849.0,NV
New Hampshire,1343622.0,NH
New Jersey,8881845.0,NJ
New Mexico,2092434.0,NM
New York,19618453.0,NY
North Carolina,10155624.0,NC
North Dakota,752201.0,ND
Ohio,11641879.0,OH
Oklahoma,3918137.0,OK
Oregon,4081943.0,OR
Pennsylvania,12791181.0,PA
Rhode Island,1056611.0,RI
South Carolina,4955925.0,SC
South Dakota,864289.0,SD
Tennessee,6651089.0,TN
Texas,27885195.0,TX
Utah,3045350.0,UT
Vermont,624977.0,VT
Virginia,8413774.0,VA
West Virginia,1829054.0,WV
Washington,7294336.0,WA
Wisconsin,5778394.0,WI
Wyoming,581836.0,WY
Alabama,4864680.0,AL
Alaska,738516.0,AK
Arizona,6946685.0,AZ
Arkansas,2990671.0,AR
California,39148760.0,CA
Colorado,5531141.0,CO
Connecticut,3581504.0,CT
Delaware,949495.0,DE
District of Columbia,684498.0,DC
Florida,20598139.0,FL
Georgia,10297484.0,GA
Idaho,1687809.0,ID
Hawaii,1422029.0,HI
Illinois,12821497.0,IL
Indiana,6637426.0,IN
Iowa,3132499.0,IA
Kansas,2908776.0,KS
Kentucky,4440204.0,KY
Louisiana,4663616.0,LA
Maine,1332813.0,ME
Maryland,6003435.0,MD
Massachusetts,6830193.0,MA
Michigan,9957488.0,MI
