SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2018,NPOPCHG_2018,BIRTHS2018,DEATHS2018,NATURALINC2018,INTERNATIONALMIG2018,DOMESTICMIG2018,NETMIG2018,RESIDUAL2018,GQESTIMATES2018,RBIRTH2018,RDEATH2018,RNATURALINC2018,RINTERNATIONALMIG2018,RDOMESTICMIG2018,RNETMIG2018
40,3,6,1,0,Alabama,Alabama,4887871,12751,57216,53425,3791,3344,5718,9062,-102,117443,11.72099821,10.94439194,0.776606268,0.685035969,1.171362342,1.856398311
50,3,6,1,1,Alabama,Autauga County,55601,158,655,532,123,-2,37,35,0,455,11.79712546,9.5817874,2.215338064,-0.036021757,0.666402507,0.63038075
50,3,6,1,3,Alabama,Baldwin County,218022,5403,2254,2228,26,118,5232,5350,27,2190,10.46811613,10.3473659,0.120750231,0.548020277,24.29866176,24.84668204
50,3,6,1,5,Alabama,Barbour County,24881,-277,261,324,-63,12,-227,-215,1,2820,10.43186315,12.94989908,-2.518035932,0.479625892,-9.07292312,-8.593297228
50,3,6,1,7,Alabama,Bibb County,22400,-155,250,256,-6,10,-158,-148,-1,2151,11.12223334,11.38916695,-0.2669336,0.444889334,-7.029251474,-6.58436214
50,3,6,1,9,Alabama,Blount County,57840,13,681,662,19,8,-10,-2,-4,489,11.7751822,11.44665289,0.328529313,0.138328132,-0.172910165,-0.034582033
50,3,6,1,11,Alabama,Bullock County,10138,-38,115,120,-5,-2,-30,-32,-1,1661,11.32224082,11.81451216,-0.49227134,-0.196908536,-2.95362804,-3.150536576
50,3,6,1,13,Alabama,Butler County,19680,-218,221,239,-18,17,-217,-200,0,333,11.16782051,12.07741675,-0.90959624,0.859063116,-10.96568801,-10.10662489
50,3,6,1,15,Alabama,Calhoun County,114277,-387,1293,1494,-201,71,-253,-182,-4,2739,11.29548661,13.05139752,-1.755910912,0.620247138,-2.210176421,-1.589929283
50,3,6,1,17,Alabama,Chambers County,33615,-143,357,461,-104,20,-58,-38,-1,458,10.59771719,13.68500735,-3.087290161,0.593709646,-1.721757974,-1.128048328
50,3,6,1,19,Alabama,Cherokee County,26032,217,219,340,-121,-1,338,337,1,290,8.447933342,13.11551295,-4.667579609,-0.038575038,13.03836288,12.99978784
50,3,6,1,21,Alabama,Chilton County,44153,36,526,506,20,25,-6,19,-3,393,11.91797893,11.46482384,0.453155092,0.566443865,-0.135946528,0.430497338
50,3,6,1,23,Alabama,Choctaw County,12841,-94,134,176,-42,-2,-50,-52,0,129,10.39726878,13.65611422,-3.258845438,-0.155183116,-3.879577902,-4.034761018
50,3,6,1,25,Alabama,Clarke County,23920,-177,267,307,-40,-2,-133,-135,-2,280,11.12106129,12.78713789,-1.666076598,-0.08330383,-5.539704688,-5.623008518
50,3,6,1,27,Alabama,Clay County,13275,-92,128,177,-49,-1,-42,-43,0,255,9.608888222,13.28729074,-3.678402522,-0.075069439,-3.152916448,-3.227985887
50,3,6,1,29,Alabama,Cleburne County,14987,81,167,198,-31,-8,122,114,-2,178,11.17318436,13.24724852,-2.074064162,-0.535242364,8.162446058,7.627203693
50,3,6,1,31,Alabama,Coffee County,51909,132,652,541,111,18,5,23,-2,518,12.57643269,10.43535289,2.141079799,0.34720213,0.096445036,0.443647166
50,3,6,1,33,Alabama,Colbert County,54762,253,610,685,-75,4,324,328,0,474,11.16490194,12.53763579,-1.372733845,0.073212472,5.930210211,6.003422683
50,3,6,1,35,Alabama,Conecuh County,12277,-158,126,183,-57,1,-102,-101,0,45,10.19747491,14.81061832,-4.613143412,0.080932341,-8.255098737,-8.174166397
50,3,6,1,37,Alabama,Coosa County,10715,-42,90,122,-32,14,-23,-9,-1,248,8.383010432,11.36363636,-2.980625931,1.304023845,-2.142324888,-0.838301043
50,3,6,1,39,Alabama,Covington County,36986,-92,426,537,-111,-2,23,21,-2,575,11.50356449,14.50097213,-2.997407647,-0.054007345,0.621084468,0.567077123
50,3,6,1,41,Alabama,Crenshaw County,13824,-37,141,181,-40,-2,5,3,0,132,10.18602131,13.07567275,-2.889651436,-0.144482572,0.36120643,0.216723858
50,3,6,1,43,Alabama,Cullman County,83442,606,977,1039,-62,29,643,672,-4,1049,11.75140428,12.49714334,-0.745739063,0.348813433,7.734035771,8.082849204
50,3,6,1,45,Alabama,Dale County,48956,-298,651,552,99,-36,-360,-396,-1,922,13.25730577,11.2412178,2.016087975,-0.7331229,-7.331228999,-8.064351899
50,3,6,1,47,Alabama,Dallas County,38310,-925,460,533,-73,2,-855,-853,1,852,11.86407892,13.74685666,-1.882777742,0.051582952,-22.05171191,-22.00012896
50,3,6,1,49,Alabama,DeKalb County,71385,-19,817,807,10,34,-59,-25,-4,782,11.44345853,11.30339172,0.140066812,0.47622716,-0.82639419,-0.35016703
50,3,6,1,51,Alabama,Elmore County,81887,471,896,818,78,21,373,394,-1,5021,10.9734665,10.01818705,0.95527945,0.257190621,4.568195318,4.825385939
50,3,6,1,53,Alabama,Escambia County,36748,-251,435,485,-50,3,-204,-201,0,2685,11.79709005,13.15307741,-1.355987362,0.081359242,-5.532428438,-5.451069196
50,3,6,1,55,Alabama,Etowah County,102501,-436,1175,1473,-298,21,-154,-133,-5,2086,11.43897429,14.34009288,-2.901118586,0.204441243,-1.499235779,-1.294794537
50,3,6,1,57,Alabama,Fayette County,16433,-41,167,225,-58,4,16,20,-3,291,10.14981615,13.674902,-3.525085848,0.243109369,0.972437475,1.215546844
50,3,6,1,59,Alabama,Franklin County,31363,-227,426,364,62,48,-338,-290,1,272,13.53390625,11.5641828,1.969723445,1.524947183,-10.73816975,-9.213222563
50,3,6,1,61,Alabama,Geneva County,26314,-96,272,357,-85,-6,-4,-10,-1,229,10.3178818,13.54221986,-3.224338062,-0.227600334,-0.151733556,-0.37933389
