State,Positive,Negative,Date_Checked,Death,Hospitalized,Total_Test_Results
AK,319,9576,2020-04-19T18:11:00Z,9.0,36.0,9895
AL,4923,40875,2020-04-20T13:23:00Z,164.0,641.0,45798
AR,1853,24630,2020-04-20T14:35:00Z,41.0,291.0,26483
AZ,4929,48061,2020-04-19T18:34:00Z,184.0,,52990
CA,30333,250567,2020-04-20T12:52:00Z,1166.0,,280900
CO,9730,36465,2020-04-20T02:46:00Z,422.0,1813.0,46195
CT,17962,41797,2020-04-20T02:49:00Z,1127.0,,59759
DC,2927,11186,2020-04-20T14:21:00Z,105.0,,14113
DE,2538,12256,2020-04-19T19:27:00Z,67.0,,14794
FL,26314,234410,2020-04-20T02:56:00Z,791.0,3977.0,260724
GA,18489,61632,2020-04-20T03:18:00Z,689.0,3489.0,80121
HI,580,23595,2020-04-20T03:08:00Z,10.0,52.0,24175
IA,2902,21648,2020-04-19T18:07:00Z,75.0,,24550
ID,1672,15773,2020-04-20T12:31:00Z,45.0,151.0,17445
IL,30357,112961,2020-04-19T20:08:00Z,1290.0,,143318
IN,11210,49932,2020-04-19T18:57:00Z,562.0,,61142
KS,1849,16281,2020-04-19T18:11:00Z,92.0,390.0,18130
KY,2960,29518,2020-04-20T03:11:00Z,148.0,1059.0,32478
LA,23928,117576,2020-04-19T18:18:00Z,1296.0,,141504
MA,38077,124164,2020-04-19T20:05:00Z,1706.0,,162241
MD,13684,57713,2020-04-20T14:43:00Z,516.0,3014.0,71397
ME,867,14076,2020-04-19T20:15:00Z,34.0,136.0,14943
MI,31424,78237,2020-04-20T02:22:00Z,2391.0,,109661
MN,2356,43360,2020-04-20T02:39:00Z,134.0,574.0,45716
MO,5667,50206,2020-04-20T02:34:00Z,176.0,,55873
MS,4274,34791,2020-04-19T20:12:00Z,159.0,808.0,39065
MT,433,10465,2020-04-19T18:51:00Z,10.0,55.0,10898
NC,6493,72279,2020-04-19T18:17:00Z,172.0,,78772
ND,585,13045,2020-04-19T18:20:00Z,10.0,51.0,13630
NE,1474,14206,2020-04-20T02:35:00Z,28.0,,15680
NH,1392,12726,2020-04-20T02:36:00Z,41.0,198.0,14118
NJ,85301,85387,2020-04-20T14:13:00Z,4202.0,,170688
NM,1845,35197,2020-04-20T14:36:00Z,55.0,274.0,37042
NV,3830,28517,2020-04-20T14:42:00Z,158.0,,32347
NY,242786,374769,2020-04-20T12:22:00Z,13869.0,55723.0,617555
OH,11292,75697,2020-04-20T03:16:00Z,471.0,2565.0,86989
OK,2599,32966,2020-04-20T14:32:00Z,140.0,541.0,35565
OR,1910,37128,2020-04-19T20:21:00Z,74.0,456.0,39038
PA,32284,126570,2020-04-19T20:07:00Z,1112.0,,158854
RI,4706,29993,2020-04-19T20:06:00Z,150.0,331.0,34699
SC,4377,36103,2020-04-19T20:12:00Z,120.0,776.0,40480
SD,1635,10427,2020-04-20T02:30:00Z,7.0,74.0,12062
TN,7070,90028,2020-04-19T19:52:00Z,148.0,724.0,97098
TX,18923,163787,2020-04-19T19:48:00Z,477.0,,182710
UT,3069,60486,2020-04-19T19:47:00Z,27.0,259.0,63555
VA,8990,47745,2020-04-20T13:27:00Z,300.0,1500.0,56735
VT,816,12165,2020-04-20T14:38:00Z,38.0,,12981
WA,11790,126852,2020-04-20T12:49:00Z,634.0,,138642
WI,4346,45323,2020-04-19T19:16:00Z,220.0,1190.0,49669
WV,890,20785,2020-04-20T12:51:00Z,20.0,,21675
WY,313,7073,2020-04-20T02:40:00Z,2.0,51.0,7386
PR,1252,8486,2020-04-20T13:07:00Z,63.0,,9738
AS,0,3,2020-04-19T19:21:00Z,,,3
GU,133,991,2020-04-20T12:57:00Z,5.0,,1124
MP,14,51,2020-04-20T12:13:00Z,2.0,,65
VI,53,554,2020-04-20T12:37:00Z,3.0,,607
