Date,States,Positive,Negative,Recovered,Date_Checked,Death,Hospitalized,Total_Test_Results,Death_Increase,Hospitalized_Increase,Negative_Increase,Positive_Increase,Total_Test_Results_Increase
20200417,56,686914,2854454.0,44094.0,2020-04-17T20:00:00Z,32356,77955.0,3541368,2060.0,3250.0,116650.0,23654.0,140304.0
20200416,56,663260,2737804.0,42032.0,2020-04-16T20:00:00Z,30296,74705.0,3401064,2136.0,5102.0,127705.0,30604.0,158309.0
20200415,56,632656,2610099.0,39405.0,2020-04-15T20:00:00Z,28160,69603.0,3242755,2492.0,2056.0,130952.0,30183.0,161135.0
20200414,56,602473,2479147.0,37645.0,2020-04-14T20:00:00Z,25668,67547.0,3081620,2299.0,4874.0,120915.0,25699.0,146614.0
20200413,56,576774,2358232.0,35442.0,2020-04-13T20:00:00Z,23369,62673.0,2935006,1450.0,1472.0,104166.0,24948.0,129114.0
20200412,56,551826,2254066.0,34151.0,2020-04-12T20:00:00Z,21919,61201.0,2805892,1564.0,2652.0,111243.0,28983.0,140226.0
20200411,56,522843,2142823.0,31631.0,2020-04-11T20:00:00Z,20355,58549.0,2665666,1867.0,2207.0,106793.0,29591.0,136384.0
20200410,56,493252,2036030.0,29054.0,2020-04-10T20:00:00Z,18488,56342.0,2529282,2064.0,4291.0,119310.0,34617.0,153927.0
20200409,56,458635,1916720.0,24869.0,2020-04-09T20:00:00Z,16424,52051.0,2375355,1877.0,3134.0,128443.0,34346.0,162789.0
20200408,56,424289,1788277.0,21141.0,2020-04-08T20:00:00Z,14547,48917.0,2212566,1901.0,3417.0,109403.0,30133.0,139536.0
20200407,56,394156,1678874.0,18477.0,2020-04-07T20:00:00Z,12646,45500.0,2073030,1926.0,2302.0,117662.0,30437.0,148099.0
20200406,56,363719,1561212.0,16584.0,2020-04-06T20:00:00Z,10720,43198.0,1924931,1166.0,2975.0,120496.0,28752.0,149248.0
20200405,56,334967,1440716.0,14542.0,2020-04-05T20:00:00Z,9554,40223.0,1775683,1175.0,2556.0,96629.0,25974.0,122603.0
20200404,56,308993,1344087.0,12840.0,2020-04-04T20:00:00Z,8379,37667.0,1653080,1353.0,4166.0,195732.0,33536.0,229268.0
20200403,56,275457,1148355.0,10861.0,2020-04-03T20:00:00Z,7026,33501.0,1423812,1191.0,3303.0,99957.0,32054.0,132011.0
20200402,56,243403,1048398.0,8586.0,2020-04-02T20:00:00Z,5835,30198.0,1291801,1089.0,4141.0,93881.0,28074.0,121955.0
20200401,56,215329,954517.0,7084.0,2020-04-01T20:00:00Z,4746,26057.0,1169846,943.0,3890.0,78230.0,25251.0,103481.0
20200331,56,190078,876287.0,5666.0,2020-03-31T20:00:00Z,3803,22167.0,1066365,820.0,3656.0,82491.0,24481.0,106972.0
20200330,56,165597,793796.0,4560.0,2020-03-30T20:00:00Z,2983,18511.0,959393,516.0,2248.0,97424.0,21220.0,118644.0
20200329,56,144377,696372.0,4061.0,2020-03-29T20:00:00Z,2467,16263.0,840749,466.0,2514.0,73593.0,19493.0,93086.0
20200328,56,124884,622779.0,3148.0,2020-03-28T20:00:00Z,2001,13749.0,747663,427.0,2208.0,88530.0,19400.0,107930.0
20200327,56,105484,534249.0,2422.0,2020-03-27T20:00:00Z,1574,11541.0,639733,366.0,2394.0,91968.0,18673.0,110641.0
20200326,56,86811,442281.0,97.0,2020-03-26T20:00:00Z,1208,9147.0,529092,277.0,3711.0,79090.0,17303.0,96393.0
20200325,56,69508,363191.0,147.0,2020-03-25T20:00:00Z,931,5436.0,432699,225.0,1345.0,66606.0,12284.0,78890.0
20200324,56,57224,296585.0,,2020-03-24T20:00:00Z,706,4091.0,353809,197.0,833.0,56425.0,10158.0,66583.0
20200323,56,47066,240160.0,,2020-03-23T20:00:00Z,509,3258.0,287226,83.0,760.0,45054.0,10675.0,55729.0
20200322,56,36391,195106.0,,2020-03-22T20:00:00Z,426,2498.0,231497,129.0,534.0,37570.0,8956.0,46526.0
20200321,56,27435,157536.0,,2020-03-21T20:00:00Z,297,1964.0,184971,50.0,1964.0,38566.0,6527.0,45093.0
20200320,56,20908,118970.0,,2020-03-20T20:00:00Z,247,,139878,62.0,0.0,30031.0,5774.0,35805.0
20200319,56,15134,88939.0,,2020-03-19T20:00:00Z,185,,104073,43.0,0.0,21771.0,4195.0,25966.0
20200318,56,10939,67168.0,,2020-03-18T20:00:00Z,142,,78107,23.0,0.0,19115.0,2573.0,21688.0
20200317,56,8366,48053.0,,2020-03-17T20:00:00Z,119,,56419,22.0,0.0,11949.0,2184.0,14133.0
20200316,56,6182,36104.0,,2020-03-16T20:00:00Z,97,,42286,21.0,0.0,13480.0,1280.0,14760.0
20200315,51,4902,22624.0,,2020-03-15T20:00:00Z,76,,27526,13.0,0.0,5522.0,1056.0,6578.0
20200314,51,3846,17102.0,,2020-03-14T20:00:00Z,63,,20948,8.0,0.0,3489.0,751.0,4240.0
20200313,51,3095,13613.0,,2020-03-13T20:00:00Z,55,,16708,4.0,0.0,5572.0,874.0,6446.0
20200312,51,2221,8041.0,,2020-03-12T20:00:00Z,51,,10262,8.0,0.0,1935.0,464.0,2399.0
20200311,51,1757,6106.0,,2020-03-11T20:00:00Z,43,,7863,6.0,0.0,2294.0,392.0,2686.0
20200310,51,1365,3812.0,,2020-03-10T20:00:00Z,37,,5177,2.0,0.0,468.0,317.0,785.0
20200309,51,1048,3344.0,,2020-03-09T20:00:00Z,35,,4392,4.0,0.0,1009.0,317.0,1326.0
20200308,51,731,2335.0,,2020-03-08T20:00:00Z,31,,3066,4.0,0.0,496.0,181.0,677.0
20200307,51,550,1839.0,,2020-03-07T21:00:00Z,27,,2389,1.0,0.0,251.0,156.0,407.0
20200306,37,394,1588.0,,2020-03-06T21:00:00Z,26,,1982,6.0,0.0,618.0,118.0,736.0
20200305,25,276,970.0,,2020-03-05T21:00:00Z,20,,1246,4.0,0.0,211.0,67.0,278.0
20200304,16,209,759.0,,2020-03-04T21:00:00Z,16,,968,2.0,0.0,753.0,115.0,868.0
20200303,3,94,6.0,,2020-03-03T21:00:00Z,14,,100,3.0,0.0,6.0,41.0,47.0
20200302,3,53,,,2020-03-02T21:00:00Z,11,,53,3.0,0.0,0.0,13.0,13.0
20200301,3,40,,,2020-03-01T21:00:00Z,8,,40,3.0,0.0,0.0,22.0,22.0
20200229,1,18,,,2020-02-29T21:00:00Z,5,,18,1.0,0.0,0.0,9.0,9.0
20200228,1,9,,,2020-02-28T21:00:00Z,4,,9,,,,,
